time,temperature,humidity,wind_speed_mps,cloud_cover,pressure
2025-04-21 10:00:00+00:00,9.4,63.0,2.2,92.6,1012.4
2025-04-21 11:00:00+00:00,10.2,60.0,2.2,94.0,1012.5
2025-04-21 12:00:00+00:00,11.1,58.0,2.3,94.8,1012.5
2025-04-21 13:00:00+00:00,11.7,55.0,1.9,95.5,1012.6
2025-04-21 14:00:00+00:00,12.4,53.0,1.8,98.7,1012.5
2025-04-21 15:00:00+00:00,13.0,53.0,1.6,99.5,1012.6
2025-04-21 16:00:00+00:00,13.0,58.0,1.9,99.2,1012.6
2025-04-21 17:00:00+00:00,12.7,59.0,2.2,98.4,1012.7
2025-04-21 18:00:00+00:00,11.9,63.0,1.6,97.4,1012.9
2025-04-21 19:00:00+00:00,10.7,65.0,0.7,98.2,1013.2
2025-04-21 20:00:00+00:00,9.9,68.0,0.8,97.3,1013.4
2025-04-21 21:00:00+00:00,9.2,70.0,1.0,90.3,1013.4
2025-04-21 22:00:00+00:00,8.8,74.0,1.2,87.4,1013.4
2025-04-21 23:00:00+00:00,8.2,77.0,1.6,81.2,1013.5
2025-04-22 00:00:00+00:00,7.8,78.0,2.8,61.8,1013.7
2025-04-22 01:00:00+00:00,7.2,79.0,2.0,68.6,1013.7
2025-04-22 02:00:00+00:00,6.6,74.0,1.4,88.6,1013.9
2025-04-22 03:00:00+00:00,6.3,80.0,2.2,98.2,1014.0
2025-04-22 04:00:00+00:00,6.3,86.0,2.2,99.9,1014.2
2025-04-22 05:00:00+00:00,6.5,86.0,2.1,100.0,1014.4
2025-04-22 06:00:00+00:00,6.8,88.0,2.5,100.0,1014.6
2025-04-22 07:00:00+00:00,7.1,88.0,2.1,100.0,1014.9
2025-04-22 08:00:00+00:00,7.6,86.0,2.2,100.0,1015.1
2025-04-22 09:00:00+00:00,8.2,84.0,2.0,99.9,1015.3
2025-04-22 10:00:00+00:00,8.7,80.0,1.7,99.3,1015.4
2025-04-22 11:00:00+00:00,9.8,76.0,1.0,97.2,1015.4
2025-04-22 12:00:00+00:00,10.1,78.0,2.1,97.6,1015.5
2025-04-22 13:00:00+00:00,10.5,74.0,1.8,98.9,1015.4
2025-04-22 14:00:00+00:00,10.3,75.0,1.9,99.8,1015.5
2025-04-22 15:00:00+00:00,10.0,77.0,1.7,99.9,1015.6
2025-04-22 16:00:00+00:00,9.6,85.0,1.7,100.0,1015.8
2025-04-22 17:00:00+00:00,9.3,85.0,2.8,100.0,1016.1
2025-04-22 18:00:00+00:00,8.5,88.0,2.4,99.8,1016.4
2025-04-22 19:00:00+00:00,7.9,88.0,2.5,99.9,1016.8
2025-04-22 20:00:00+00:00,7.3,81.0,3.8,100.0,1017.4
2025-04-22 21:00:00+00:00,6.7,81.0,4.6,98.3,1018.2
2025-04-22 22:00:00+00:00,6.2,78.0,3.9,95.7,1019.0
2025-04-22 23:00:00+00:00,5.8,75.0,3.9,88.6,1019.6
2025-04-23 00:00:00+00:00,5.3,73.0,3.7,75.7,1020.0
2025-04-23 01:00:00+00:00,4.7,70.0,3.6,56.5,1020.3
2025-04-23 02:00:00+00:00,4.1,72.0,2.8,32.9,1020.7
2025-04-23 03:00:00+00:00,3.3,77.0,2.4,38.6,1021.2
2025-04-23 04:00:00+00:00,3.0,78.0,2.4,52.8,1021.5
2025-04-23 05:00:00+00:00,3.5,67.0,3.2,62.8,1021.9
2025-04-23 06:00:00+00:00,4.1,56.0,3.8,63.3,1022.4
2025-04-23 07:00:00+00:00,4.5,48.0,3.6,72.7,1022.7
2025-04-23 08:00:00+00:00,5.2,49.0,3.4,64.7,1023.0
2025-04-23 09:00:00+00:00,5.9,48.0,3.7,46.5,1023.2
2025-04-23 10:00:00+00:00,6.5,44.0,3.9,52.5,1023.4
2025-04-23 11:00:00+00:00,7.1,38.0,4.4,52.2,1023.6
2025-04-23 12:00:00+00:00,7.6,34.0,4.7,16.0,1023.7
2025-04-23 13:00:00+00:00,8.1,32.0,5.0,0.1,1023.5
2025-04-23 14:00:00+00:00,8.3,30.0,5.0,0.0,1023.4
2025-04-23 15:00:00+00:00,8.4,30.0,4.8,0.2,1023.5
2025-04-23 16:00:00+00:00,8.3,31.0,4.7,0.0,1023.3
2025-04-23 17:00:00+00:00,7.7,33.0,4.6,0.1,1023.1
2025-04-23 18:00:00+00:00,7.1,34.0,4.5,0.1,1023.1
2025-04-24 00:00:00+00:00,3.4,70.0,2.4,100.0,1024.3
2025-04-24 06:00:00+00:00,3.6,66.0,1.7,28.1,1023.9
2025-04-24 12:00:00+00:00,8.3,43.0,2.7,72.7,1024.9
2025-04-24 18:00:00+00:00,5.8,57.0,3.2,38.7,1026.2
2025-04-25 00:00:00+00:00,2.4,76.0,1.2,44.5,1028.4
2025-04-25 06:00:00+00:00,3.4,68.0,1.6,55.1,1028.8
2025-04-25 12:00:00+00:00,7.6,47.0,2.1,94.5,1028.0
2025-04-25 18:00:00+00:00,7.1,54.0,2.3,90.6,1027.1
2025-04-26 00:00:00+00:00,3.1,78.0,1.9,72.7,1027.7
2025-04-26 06:00:00+00:00,3.9,72.0,1.6,61.7,1027.4
2025-04-26 12:00:00+00:00,9.2,47.0,1.9,78.1,1026.1
2025-04-26 18:00:00+00:00,9.2,60.0,1.9,96.9,1024.0
2025-04-27 00:00:00+00:00,5.0,79.0,1.3,100.0,1023.7
2025-04-27 06:00:00+00:00,5.3,78.0,1.2,100.0,1023.1
2025-04-27 12:00:00+00:00,10.0,64.0,1.8,100.0,1022.0
2025-04-27 18:00:00+00:00,9.3,79.0,1.8,100.0,1021.0
2025-04-28 00:00:00+00:00,7.9,88.0,1.7,100.0,1020.6
2025-04-28 06:00:00+00:00,8.1,87.0,2.0,100.0,1020.9
2025-04-28 12:00:00+00:00,11.3,72.0,2.2,100.0,1020.6
2025-04-28 18:00:00+00:00,12.0,84.0,2.1,100.0,1020.0
2025-04-29 00:00:00+00:00,9.3,90.0,1.6,100.0,1021.1
2025-04-29 06:00:00+00:00,9.1,87.0,1.6,100.0,1021.1
2025-04-29 12:00:00+00:00,12.0,73.0,2.6,100.0,1021.0
2025-04-29 18:00:00+00:00,12.3,93.0,2.4,100.0,1021.1
2025-04-30 00:00:00+00:00,9.2,93.0,2.0,100.0,1020.2
2025-04-30 06:00:00+00:00,9.0,93.0,2.4,100.0,1019.5
2025-04-30 12:00:00+00:00,11.7,73.0,2.6,100.0,1021.0
2025-04-30 18:00:00+00:00,11.7,91.0,2.7,100.0,1021.7
2025-05-01 00:00:00+00:00,8.7,86.0,2.3,100.0,1022.5
2025-05-01 06:00:00+00:00,9.7,84.0,2.5,100.0,1024.0
